Complaint_Text,Category,Urgency,Date_Submitted
I am facing an issue where Projector in Lab 3 is not turning on.,IT,Medium,2026-02-13
I am facing an issue where Bicycles are being stolen from the parking lot.,Security,High,2026-03-18
Water supply in mess area was disrupted.,Mess,Medium,2026-04-03
This is Hygiene issues at the clinic close to 3rd floor.,Health,Medium,2026-03-27
I am facing an issue where Projector in Hostel A is not turning on.,IT,Medium,2026-04-16
Not enough basketballs available. needs fixing,Sports,Low,2026-03-21
This is Lights are constantly flickering in Building C.,Maintenance,High,2026-01-22
I am facing an issue where Chairs are uncomfortable in the reading room. frustrating,Library,Low,2026-02-13
Chairs are uncomfortable in the reading room.,Library,Medium,2026-01-14
No security guard present at the back gate. terrible,Security,High,2026-04-02
It is Library closes too early during exam week.,Library,Medium,2026-03-24
Menu is repetitive and lacks nutrition.,Mess,High,2026-03-15
Need better first aid kits in the Hostel A.,Health,High,2026-02-03
I am facing an issue where Need better first aid kits in the 3rd floor.,Health,Medium,2026-01-03
It is Professor missed the scheduled lecture without notice.,Academic,Medium,2026-04-16
CCTV cameras are not functional in Hostel B. bad,Security,High,2026-04-16
Librarian was unhelpful today.,Library,Low,2026-01-11
Food is served cold during dinner time.,Mess,High,2026-02-21
This is Medical room is closed during night hours near Main Block. terrible,Health,High,2026-01-27
It is Chairs are uncomfortable in the reading room.,Library,Low,2026-01-18
CCTV cameras are not functional in Library Section.,Security,High,2026-03-12
Outsiders entering the campus without checking. needs fixing,Security,High,2026-02-11
Water supply in mess area was disrupted.,Mess,Medium,2026-03-29
Campus security personnel are rude to students. bad,Security,High,2026-03-28
Library closes too early during exam week. bad,Library,Medium,2026-01-24
Library closes too early during exam week.,Library,Medium,2026-02-15
I am facing an issue where Gym equipment requires maintenance.,Sports,Medium,2026-04-14
This is Fan is making weird noises in Hostel A.,Maintenance,Low,2026-01-26
It is No vegetarian options available in the mess today.,Mess,Low,2026-03-18
It is Indoor stadium is kept locked on weekends. terrible,Sports,Medium,2026-03-30
No security guard present at the back gate.,Security,Medium,2026-03-20
Floodlights at the football ground are not working.,Sports,Low,2026-01-20
It is Library closes too early during exam week. frustrating,Library,Medium,2026-03-24
This is Water cooler on the Hostel A is broken.,Maintenance,Medium,2026-01-17
I am facing an issue where Indoor stadium is kept locked on weekends. bad,Sports,Low,2026-04-05
It is The internet in the Library Section is too slow for studying. bad,IT,Medium,2026-01-22
Software licenses expired on lab machines in 3rd floor. needs fixing,IT,High,2026-02-09
Librarian was unhelpful today.,Library,Medium,2026-04-11
Floodlights at the football ground are not working. terrible,Sports,Medium,2026-02-02
I am facing an issue where Not enough quiet study spaces.,Library,Medium,2026-03-31
Not enough quiet study spaces. frustrating,Library,Low,2026-04-05
Gym equipment requires maintenance.,Sports,Medium,2026-03-26
Window pane is broken in Library Section. very annoying,Maintenance,Medium,2026-04-17
Chairs are uncomfortable in the reading room.,Library,Medium,2026-04-19
I am facing an issue where Campus security personnel are rude to students.,Security,High,2026-02-26
It is Course curriculum needs updating for industry standards.,Academic,Medium,2026-01-02
Fan is making weird noises in Library Section.,Maintenance,Low,2026-03-03
Doctor was not available at the clinic near Room 402.,Health,High,2026-02-11
Assignments are graded unfairly.,Academic,Medium,2026-01-25
I am facing an issue where Exam schedule is clashing with placement drives.,Academic,High,2026-02-21
Software licenses expired on lab machines in Library Section. bad,IT,Low,2026-03-25
The internet in the 3rd floor is too slow for studying.,IT,Medium,2026-02-24
Hygiene issues at the clinic close to Hostel B.,Health,Medium,2026-03-22
This is Librarian was unhelpful today.,Library,Medium,2026-03-17
I am facing an issue where Cutlery is frequently dirty. urgent,Mess,Medium,2026-02-21
Not enough basketballs available.,Sports,Medium,2026-03-30
Food is served cold during dinner time.,Mess,High,2026-03-20
Hygiene issues at the clinic close to Main Block.,Health,High,2026-03-22
I am facing an issue where Gym equipment requires maintenance.,Sports,Medium,2026-02-19
It is Hostel AC is not cooling in Main Block. Please fix ASAP.,Maintenance,High,2026-02-27
Sports ground is too muddy to play.,Sports,Medium,2026-01-11
I am facing an issue where Doctor was not available at the clinic near 3rd floor.,Health,Medium,2026-02-12
Need better first aid kits in the Main Block.,Health,High,2026-01-13
It is Online journal access is revoked.,Library,Medium,2026-04-10
Online journal access is revoked.,Library,Medium,2026-03-10
Cutlery is frequently dirty.,Mess,Low,2026-02-22
Bicycles are being stolen from the parking lot.,Security,High,2026-01-11
Elevator in Main Block is stuck frequently.,Maintenance,Medium,2026-04-04
I am facing an issue where Hostel AC is not cooling in Room 402. Please fix ASAP. frustrating,Maintenance,Medium,2026-01-11
Cricket pitch needs to be rolled and cleaned.,Sports,Medium,2026-03-20
I am facing an issue where No vegetarian options available in the mess today.,Mess,Medium,2026-02-28
Cutlery is frequently dirty. needs fixing,Mess,Medium,2026-01-08
Wi-Fi keeps disconnecting in Hostel B. terrible,IT,Low,2026-02-04
Software licenses expired on lab machines in Main Block. terrible,IT,Low,2026-01-05
It is Fan is making weird noises in Building C.,Maintenance,Medium,2026-03-05
Not enough basketballs available.,Sports,Low,2026-04-01
Parking lot lights are out. urgent,Security,High,2026-02-23
This is Elevator in Lab 3 is stuck frequently.,Maintenance,High,2026-04-04
I am facing an issue where Library closes too early during exam week.,Library,Medium,2026-03-10
I am facing an issue where Water cooler on the Hostel B is broken.,Maintenance,High,2026-02-12
This is Unable to access the student portal from Library Section.,IT,High,2026-02-04
Fan is making weird noises in Lab 3. very annoying,Maintenance,Low,2026-03-23
Need more books on Machine Learning in the library.,Library,Medium,2026-02-17
No security guard present at the back gate.,Security,High,2026-01-26
Campus security personnel are rude to students. urgent,Security,High,2026-04-15
Assignments are graded unfairly.,Academic,High,2026-02-16
Cricket pitch needs to be rolled and cleaned.,Sports,Low,2026-03-30
Parking lot lights are out. frustrating,Security,High,2026-03-25
Floodlights at the football ground are not working.,Sports,Medium,2026-03-18
I am facing an issue where Doctor was not available at the clinic near Lab 3.,Health,High,2026-03-19
This is Library closes too early during exam week.,Library,Low,2026-03-31
Cricket pitch needs to be rolled and cleaned.,Sports,Medium,2026-02-14
It is Projector in Hostel A is not turning on.,IT,High,2026-03-25
Cricket pitch needs to be rolled and cleaned. terrible,Sports,Medium,2026-02-18
Floodlights at the football ground are not working.,Sports,Low,2026-01-26
Campus security personnel are rude to students.,Security,High,2026-02-01
I am facing an issue where CCTV cameras are not functional in Library Section.,Security,High,2026-02-18
Indoor stadium is kept locked on weekends.,Sports,Low,2026-01-09
Wi-Fi keeps disconnecting in Building C.,IT,Medium,2026-01-08
Professor missed the scheduled lecture without notice.,Academic,High,2026-02-03
Elevator in Main Block is stuck frequently.,Maintenance,High,2026-03-23
Unable to access the student portal from Building C. urgent,IT,High,2026-01-03
Indoor stadium is kept locked on weekends.,Sports,Low,2026-02-27
I am facing an issue where No vegetarian options available in the mess today.,Mess,Medium,2026-02-07
Water supply in mess area was disrupted. bad,Mess,Medium,2026-03-16
LAN cable missing in the Hostel A.,IT,High,2026-01-11
Floodlights at the football ground are not working.,Sports,Medium,2026-02-20
Washrooms lack basic hygiene supplies in Room 402.,Maintenance,High,2026-03-09
This is Not enough basketballs available.,Sports,Medium,2026-04-10
I am facing an issue where Computers in the Hostel A lab are not working. bad,IT,High,2026-01-04
I am facing an issue where Floodlights at the football ground are not working. frustrating,Sports,Medium,2026-03-19
This is Assignments are graded unfairly. terrible,Academic,Medium,2026-02-17
I am facing an issue where Not enough basketballs available.,Sports,Low,2026-03-02
Sports ground is too muddy to play.,Sports,Low,2026-01-08
Librarian was unhelpful today.,Library,Medium,2026-01-08
Fan is making weird noises in Building C.,Maintenance,High,2026-03-06
Water supply in mess area was disrupted.,Mess,High,2026-01-03
This is Computers in the Lab 3 lab are not working. frustrating,IT,High,2026-01-10
Outsiders entering the campus without checking. bad,Security,High,2026-02-18
It is CCTV cameras are not functional in Library Section.,Security,High,2026-03-18
Floodlights at the football ground are not working. needs fixing,Sports,Medium,2026-03-20
I am facing an issue where Hygiene issues at the clinic close to Building C.,Health,Medium,2026-03-09
I am facing an issue where Doctor was not available at the clinic near Hostel B. needs fixing,Health,High,2026-04-01
Course curriculum needs updating for industry standards.,Academic,Medium,2026-04-05
Chairs are uncomfortable in the reading room.,Library,Low,2026-04-06
